	Kingdom	Phylum	Class	Order	Family	Genus
ASV1308	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
ASV1309	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria
ASV1310	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria
ASV1311	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Amoebophilaceae
ASV1312	Bacteria	Cyanobacteriota	Vampirivibrionia	Gastranaerophilales	Gastranaerophilaceae	Gastranaerophilaceae
ASV1313	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria
ASV1314	Bacteria	Cyanobacteriota	Sericytochromatia	Sericytochromatia	Sericytochromatia	Sericytochromatia
ASV1315	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	Bradymonadales	Bradymonadales
ASV1316	Bacteria	Thermodesulfobacteriota	Thermodesulfobacteriota	Thermodesulfobacteriota	Thermodesulfobacteriota	Thermodesulfobacteriota
ASV1317	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera
ASV1318	Bacteria	Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Ectothiorhodospiraceae
ASV1319	Bacteria	SAR324 clade(Marine group B)	Incertae Sedis	Incertae Sedis	Incertae Sedis	Candidatus Nitrosoarchaeum
ASV1320	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureicoccus
ASV1321	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium
